country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belize,3364.423711,3418.216676,3554.230347,3675.880301,3825.78733,3926.013742,4178.925373,4315.834964,4460.634144,4243.433284,4331.434517,4501.602637,4626.709615,4652.509003,4790.941262,4883.179011,4904.034338,4956.808039
Bolivia,997.5824599,948.8712066,904.2266273,907.5371101,967.406992,1034.31124,1218.874459,1372.628225,1715.208922,1754.211061,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.658949,3351.124053
Brazil,3749.75325,3156.798718,2829.283192,3070.910491,3637.462389,4790.437088,5886.463588,7348.030794,8831.023117,8597.915352,11286.24302,13245.61553,12370.0242,12300.32258,12112.5903,8814.000987,8712.887044,9880.946543
Barbados,11496.6024,11437.24771,11592.20993,11937.67338,12766.27047,14104.14623,15051.69798,16764.44205,17081.86579,15936.98418,16056.01653,16470.3679,16412.9362,16224.28736,16179.58396,16066.4718,15847.14272,16327.60723
Brunei Darussalam,18012.55626,16472.14862,16850.15113,18560.60857,21902.08805,26105.27903,30979.87917,32663.56659,37934.37651,27955.71386,35269.55311,47055.84112,47741.90647,44740.08502,41726.78397,31164.56203,27157.34623,28572.10942
Bhutan,743.0501339,789.1470035,871.8091577,990.7414286,1099.977331,1262.247445,1365.558061,1798.96974,1873.59735,1864.536803,2312.860096,2625.433256,2599.396094,2532.015642,2749.352665,2829.891245,3012.961401,3390.714075
Botswana,3522.308678,3278.00825,3190.615453,4330.9449,5073.53765,5520.12472,5516.03921,5832.733942,5713.534983,5255.768461,6434.815657,7617.325094,7877.79035,7224.965172,7780.638385,6799.875234,7243.856017,7893.675933
Central African Republic,251.2068774,250.3570114,260.7455273,293.6618517,320.7374603,331.1629242,354.6713801,404.373965,464.5614221,474.7054087,487.9453833,551.0280576,565.8330584,382.3403002,426.6845621,380.4042935,406.5319611,471.6032278
Canada,24190.24962,23738.18072,24169.28473,28200.65808,32034.30774,36266.18712,40385.86996,44543.04104,46594.45095,40773.06153,47450.31847,52101.79609,52542.34666,52504.6557,50835.51118,43495.05439,42279.90082,45069.92725
Central Europe and the Baltics,3943.339122,4347.502665,4930.018994,5934.259919,7162.2869,8345.535179,9462.540507,12000.1004,14574.07439,12288.02491,12567.405,13872.61541,12998.66527,13710.08062,14152.39383,12467.45018,12773.78384,14167.6491
Switzerland,37868.32306,38538.99005,41376.39399,48087.58314,53340.14766,54952.67372,57579.50195,63555.2375,72487.84593,69927.46877,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82081.59712,80037.50304,80333.44494
Chile,5074.901624,4574.594421,4446.250505,4772.56282,6194.853107,7598.525121,9464.550243,10502.35452,10751.47967,10208.90676,12808.03459,14637.24024,15351.55133,15842.94009,14670.99718,13574.1715,13748.0884,15037.35011
